label,pattern,replace,language
fruit_type_term,Merikarp,schizocarp,german
fruit_type_term,Merikarpe,schizocarp,german
fruit_type_term,Regma,schizocarp,german
fruit_type_term,Regmen,schizocarp,german
fruit_type_term,Spaltfrucht,schizocarp,german
fruit_type_term,Spaltfrüchte,schizocarp,german
fruit_type_term,Sorosen,sorosis,german
fruit_type_term,Sorosis,sorosis,german
fruit_type_term,Syconien,syconium,german
fruit_type_term,Syconium,syconium,german
fruit_type_term,Utriculi,utricle,german
fruit_type_term,Utriculus,utricle,german
fruit_type_term,achaenia,achene,latin
fruit_type_term,achaenia alata,achene,latin
fruit_type_term,achaenium,achene,latin
fruit_type_term,achaenium alatum,achene,latin
fruit_type_term,cypsela,achene,latin
fruit_type_term,cypselae,achene,latin
fruit_type_term,anthocarpia,anthocarp,latin
fruit_type_term,anthocarpium,anthocarp,latin
fruit_type_term,amphisarca,berry,latin
fruit_type_term,amphisarcae,berry,latin
fruit_type_term,arillocarpia,berry,latin
fruit_type_term,arillocarpium,berry,latin
fruit_type_term,bacca,berry,latin
fruit_type_term,bacca carnosa,berry,latin
fruit_type_term,bacca pulposa,berry,latin
fruit_type_term,baccae,berry,latin
fruit_type_term,baccae carnosae,berry,latin
fruit_type_term,baccae pulposae,berry,latin
fruit_type_term,balaustae,berry,latin
fruit_type_term,cactidia,berry,latin
fruit_type_term,epispermati a,berry,latin
fruit_type_term,epispermatium,berry,latin
fruit_type_term,hesperidia,berry,latin
fruit_type_term,hesperidium,berry,latin
fruit_type_term,pepones,berry,latin
fruit_type_term,syncarpia,berry,latin
fruit_type_term,syncarpium,berry,latin
fruit_type_term,capsula,capsule,latin
fruit_type_term,capsula circumscissa,capsule,latin
fruit_type_term,capsula loculicida,capsule,latin
fruit_type_term,capsula poricida,capsule,latin
fruit_type_term,capsula septicida,capsule,latin
fruit_type_term,capsulae,capsule,latin
fruit_type_term,capsulae circumscissae,capsule,latin
fruit_type_term,capsulae loculicidae,capsule,latin
fruit_type_term,capsulae poricidae,capsule,latin
fruit_type_term,capsulae septicidae,capsule,latin
fruit_type_term,circumscissa,capsule,latin
fruit_type_term,circumscissi,capsule,latin
fruit_type_term,circumscissum,capsule,latin
fruit_type_term,circumscissus,capsule,latin
fruit_type_term,loculicidi,capsule,latin
fruit_type_term,loculicidum,capsule,latin
fruit_type_term,loculicidus,capsule,latin
fruit_type_term,poricidi,capsule,latin
fruit_type_term,poricidum,capsule,latin
fruit_type_term,poricidus,capsule,latin
fruit_type_term,pyxis,capsule,latin
fruit_type_term,septicida,capsule,latin
fruit_type_term,septicidi,capsule,latin
fruit_type_term,septicidum,capsule,latin
fruit_type_term,septicidus,capsule,latin
fruit_type_term,silicula,capsule,latin
fruit_type_term,siliculae,capsule,latin
fruit_type_term,siliquae,capsule,latin
fruit_type_term,caryopsis,caryopsis,latin
fruit_type_term,drupa aggregata,drupe,latin
fruit_type_term,drupa composita,drupe,latin
fruit_type_term,drupae,drupe,latin
fruit_type_term,drupae aggregatae,drupe,latin
fruit_type_term,drupae compositae,drupe,latin
fruit_type_term,drupella,drupe,latin
fruit_type_term,drupellae,drupe,latin
fruit_type_term,drupeta,drupe,latin
fruit_type_term,drupetum,drupe,latin
fruit_type_term,fructus drupacei,drupe,latin
fruit_type_term,fructus drupaceus,drupe,latin
fruit_type_term,pseudodrupae,drupe,latin
fruit_type_term,folliculi,follicle,latin
fruit_type_term,folliculus,follicle,latin
fruit_type_term,megastrobili,gymnosperm_cone,latin
fruit_type_term,megastrobilus,gymnosperm_cone,latin
fruit_type_term,microstrobili,gymnosperm_cone,latin
fruit_type_term,microstrobilus,gymnosperm_cone,latin
fruit_type_term,strobili,gymnosperm_cone,latin
fruit_type_term,strobili ovuliferi,gymnosperm_cone,latin
fruit_type_term,strobili polliniferi,gymnosperm_cone,latin
fruit_type_term,strobili seminiferi,gymnosperm_cone,latin
fruit_type_term,strobilus,gymnosperm_cone,latin
fruit_type_term,strobilus ovulifer,gymnosperm_cone,latin
fruit_type_term,strobilus pollinifer,gymnosperm_cone,latin
fruit_type_term,strobilus seminifer,gymnosperm_cone,latin
fruit_type_term,galbuli,gymnosperm_fleshy_cone,latin
fruit_type_term,galbulus,gymnosperm_fleshy_cone,latin
fruit_type_term,strobili bacciformes,gymnosperm_fleshy_cone,latin
fruit_type_term,strobilus bacciformis,gymnosperm_fleshy_cone,latin
fruit_type_term,legumen,legume,latin
fruit_type_term,legumina,legume,latin
fruit_type_term,lomenta,legume,latin
fruit_type_term,lomentum,legume,latin
fruit_type_term,nuces,nut,latin
fruit_type_term,nuces alatae,nut,latin
fruit_type_term,nucula,nut,latin
fruit_type_term,nuculae,nut,latin
fruit_type_term,nux,nut,latin
fruit_type_term,nux alata,nut,latin
fruit_type_term,nuculania,pome,latin
fruit_type_term,poma,pome,latin
fruit_type_term,pomum,pome,latin
fruit_type_term,samara,samara,latin
fruit_type_term,samara alata,samara,latin
fruit_type_term,samarae,samara,latin
fruit_type_term,samarae alatae,samara,latin
fruit_type_term,samaroidea,samara,latin
fruit_type_term,camerae,schizocarp,latin
fruit_type_term,carceruli,schizocarp,latin
fruit_type_term,carcerulus,schizocarp,latin
fruit_type_term,cremocarpia,schizocarp,latin
fruit_type_term,cremocarpium,schizocarp,latin
fruit_type_term,mericarpia,schizocarp,latin
fruit_type_term,mericarpium,schizocarp,latin
fruit_type_term,regmata,schizocarp,latin
fruit_type_term,schizocarpia,schizocarp,latin
fruit_type_term,schizocarpium,schizocarp,latin
fruit_type_term,syconia,syconium,latin
fruit_type_term,syconium,syconium,latin
fruit_type_term,utriculi,utricle,latin
fruit_type_term,utriculus,utricle,latin
fruit_type_term,aquénio,achene,portuguese
fruit_type_term,aquénio alado,achene,portuguese
fruit_type_term,aquénios,achene,portuguese
fruit_type_term,aquénios alados,achene,portuguese
fruit_type_term,arilocárpio,berry,portuguese
fruit_type_term,arilocárpios,berry,portuguese
fruit_type_term,baga,berry,portuguese
fruit_type_term,baga carnosa,berry,portuguese
fruit_type_term,baga polposa,berry,portuguese
fruit_type_term,bagas,berry,portuguese
fruit_type_term,bagas carnosas,berry,portuguese
fruit_type_term,bagas polposas,berry,portuguese
fruit_type_term,cactídio,berry,portuguese
fruit_type_term,cactídios,berry,portuguese
fruit_type_term,epispermátio,berry,portuguese
fruit_type_term,epispermátios,berry,portuguese
fruit_type_term,hespéridio,berry,portuguese
fruit_type_term,hespéridios,berry,portuguese
fruit_type_term,circuncísis,capsule,portuguese
fruit_type_term,cápsulas circuncísis,capsule,portuguese
fruit_type_term,pixídio,capsule,portuguese
fruit_type_term,pixídios,capsule,portuguese
fruit_type_term,cariopse,caryopsis,portuguese
fruit_type_term,drupa composta,drupe,portuguese
fruit_type_term,drupas compostas,drupe,portuguese
fruit_type_term,cone,gymnosperm_cone,portuguese
fruit_type_term,cone ovulífero,gymnosperm_cone,portuguese
fruit_type_term,cone polinífero,gymnosperm_cone,portuguese
fruit_type_term,cone seminífero,gymnosperm_cone,portuguese
fruit_type_term,cones,gymnosperm_cone,portuguese
fruit_type_term,cones ovulíferos,gymnosperm_cone,portuguese
fruit_type_term,cones poliníferos,gymnosperm_cone,portuguese
fruit_type_term,cones seminíferos,gymnosperm_cone,portuguese
fruit_type_term,megastróbilo,gymnosperm_cone,portuguese
fruit_type_term,megastróbilos,gymnosperm_cone,portuguese
fruit_type_term,microstróbilo,gymnosperm_cone,portuguese
fruit_type_term,microstróbilos,gymnosperm_cone,portuguese
fruit_type_term,cone baciforme,gymnosperm_fleshy_cone,portuguese
fruit_type_term,cones baciformes,gymnosperm_fleshy_cone,portuguese
fruit_type_term,legume,legume,portuguese
fruit_type_term,legumes,legume,portuguese
fruit_type_term,vagem,legume,portuguese
fruit_type_term,vagens,legume,portuguese
fruit_type_term,noz,nut,portuguese
fruit_type_term,noz alada,nut,portuguese
fruit_type_term,nozes,nut,portuguese
fruit_type_term,nozes aladas,nut,portuguese
fruit_type_term,nuculânio,pome,portuguese
fruit_type_term,nuculânios,pome,portuguese
fruit_type_term,sâmara,samara,portuguese
fruit_type_term,sâmara alada,samara,portuguese
fruit_type_term,sâmaras,samara,portuguese
fruit_type_term,sâmaras aladas,samara,portuguese
fruit_type_term,câmara,schizocarp,portuguese
fruit_type_term,câmaras,schizocarp,portuguese
fruit_type_term,mericárpio,schizocarp,portuguese
fruit_type_term,mericárpios,schizocarp,portuguese
fruit_type_term,sorose,sorosis,portuguese
fruit_type_term,soroses,sorosis,portuguese
fruit_type_term,sicônio,syconium,portuguese
